SOPRANNOME;COGNOME;TASSONOMIA;ETIMOLOGIA;TRADUZIONE
Abbisongiu;Piras;;;bisogno
Aculliu;;;;
Adamu;Pitzanti;;;Adamo
Aguanta famini;;;;
Alliconedda;;;;
Anguidda;Manunza;;;
Anneu;Melis;;;
Arengu;Porcu;;;
Aritzu;Meloni;;;
Arradò;Taccori;;;
Arraighedda;Marras;;;
Arralinchi(n)u ;Matta;;;
Arrana (s’);Loi;;;
Arrana scosciada;Loi;;;
Arravonellu;Mattana;;;
Arretixeddu;Melis;;;
Arrichesa (s’);;;;
Arridolli(n)u;Angioni;;;
Arritzo(n)i;Piga;;;
Arrubiastu;Orrù;;;
Arruntziu;Ferru/Loi;;;
Ascuta fragu ;;;;
Atzitzo(n)i;Pitzanti;;;
Badolliu;Spiga;;;
Bagigia;Atzeni;;;
Balloi;;;;
Banfu ;;;;
Baresu (su);;;;
Barragallu;Cau;;;
Barranculu;;;;
Barriloca;Farris;;;
Barriolu;Cannas/Ferru;;;
Barroi;Taccori;;;
Basa peis;Peis;;;
Basciu;Marras;;;
Batiroti;Loi;;;
Ben’ a mammai;Manca;;;
Bestia (sa);Bullita;;;
Beta (sa);Pili;;;
Biancu;Cara;;;
Bibitzu;Nioi/Spiga;;;
Biddigaddi;Angioni;;;
Billari;Farris;;;
Billincu;Arba;;;
Billolli;Lai;;;
Bintunu pilu;Serrau;;;
Bioi;Ferru;;;
Birriollu;Uras;;;
Biundu;Foddis;;;
Biutzu;Cau;;;
Boboi;Pinna;;;
Boci bois;Ferru;;;
Bocia (sa);Melis;;;
Bollinu;Piga;;;
Bomba (sa);Cau;;;
Bovali;Piga;;;
Boveri;Pinna;;;
Boveta;Zanda;;;
Boxi grussa;Puddu;;;
Brabaleto(n)i ;;;;
Brabeta;Tidu;;;
Bragheta;Marcis;;;
Bratzollu;;;;
Brechi;Pitzanti;;;
Brennali;Marrocu;;;
Brenti;Piga;;;
Brent’e anadi;Angioni;;;
Brent’ e cuarra;Nonnis;;;
Bresca;Nioi;;;
Bribillitzu;Spiga;;;
Broca (sa);Bullita;;;
Brociu;Mereu/Piras;;;
Brodu;Marcis;;;
Brucinella;Mereu;;;
Brunchitu;;;;
Buco(n)i;Cabras/Cau;;;
Buddeddu;Marras;;;
Buddoni;Spiga;;;
Bulleta;;;;
Busciuca;Melis;;;
Buticalli;Cabras;;;
Cabaddu;Argiolas;;;
Cabo(n)i;;;;
Caddo(n)i;Loi;;;
Cadenatzu;Ferru;;;
Caffo(n)i;Lai;;;
Caga bombas;Melis;;;
Caga dinai;;;;
Caga gana;;;;
Caga reis;;;;
Caga tzirrichia;Serra;;;
Caga uficius;Angioni;;;
Cagaiolu;;;;
Cagallo(n)i;Saba;;;
Cagareddu;Marras;;;
Cago(n)i;;;;
Calabreu;Zucca;;;
Calvariu;Ledda;;;
Camba;;;;
Caga;Cabiddu;;;
Cambedda;Cannas/Loi;;;
Campagnolu;Spano;;;
Cancarredda;Cau;;;
Canciofa;Marcis;;;
Cangiolu;Vacca;;;
Ca(n)i (su);Tinti;;;
Capello;Pau;;;
Capitanu;Mereu;;;
Carcaxu;Cogoni;;;
Cardanca;Massa;;;
Carro(n)i;Lai;;;
Carronisca;Atzeri;;;
Carzita;Spiga;;;
Cascioni;Cau;;;
Casiddu;Farris;;;
Casparru;Manunza;;;
Cassau;Angioni;;;
Castoru (L);;;;
Casu axedu;Loi;;;
Catzoteddu;;;;
Chechei;Loi;;;
Chichibio;Farris;;;
Chichinu ;Orrù;;;
Cibudda;Baldussi;;;
Cicaro(n)i;Lai;;;
Ciciolina;Bullita;;;
Ciciotedda;Dessì;;;
Cioi (su);Angioni;;;
Ciughittu;;;;
Coa seda;Piras;;;
Coca (sa);Mattana;;;
Cocoi;Cau/Zanda;;;
Coddedda;Angioni;;;
Coeta;Tolu/Cao;;;
Coixedda;Pili/Usai;;;
Concali ;Melis/Spanu;;;
Conch’ e aciolu;Cau;;;
Conch’ e allumiu;Spiga;;;
Conch’ e ca(n)i;Asunis;;;
Conch’ e milla(n)u;Pau;;;
Conch’ e pillo(n)i;Piga/ Loi;;;
Conch’ e procu;Meloni;;;
Conchedda;Spanu;;;
Conilleddu;Cau;;;
Cor’ e puxili;;;;
Cordoli(n)u;Corona;COP;;
Coronau;Manunza;;;
Corriteddu;Spiga;;;
Corrudeddu;Piras;;;
Costedda;Costa;;;
Cotza de marroni;Laconi;;;
Cotzedda;Cau;;;
Cotzi(n)a;Uras;;;
Crabitu;Bullita;;;
Craboneri (su);;;;
Craca sceti;Porcu;;;
Craddaxu;Porcu;;;
Cravilloni;Picci;;;
Cretzu;Pitzanti;;;
Crieddu;Pitzanti;;;
Crò (su);Pitzanti;;;
Crogeta;Littera;;;
Cubedda;Carboni;;;
Cubeddu;Bullita;;;
Cucu (su);Cuccu;;;
Cugumbiri;;;;
Cul’ e peddi;Laconi;;;
Culeddu;Angioni;;;
Cumbriaxi;Melis;;;
Cungiali;Mura;;;
Curri puxili;;;;
Curruliu;Tidu;;;
Datziu (su);Piras;;;
Delegau;Argiolas;;;
Dichi;Cardia;;;
Dicia (sa);Pau;;;
Dilluru;Vacca;;;
Dinzeu;;;;
Dotori (su);Serrau;;;
Dove vai;;;;
Dromitoriu (su);;;;
Druci (su);Angioni,;;;
Dubu;Pinna;;;
Dudduru;Pinna;;;
Durrucau;Cau/Pala;;;
Fa arrostia;Farris;;;
Falascu;;;;
Fasolu;Argiolas;;;
Feminedda;Lai;;;
Fiaca;Pinna;;;
Findeu;Cannas/Soro;;;
Fitziosu;;;;
Fogatza;Atzori;;;
Foresu;Meloni;;;
Fra Giacu;Meloni;;;
Frazia;;;;
Friaxu;Angioni;;;
Friusu (su);Spiga;;;
Furitu;Picci;;;
Gaggiu;;;;
Gallosu;Sotgiu;;;
Gaurru;Pitzanti;;;
Gesucristu;Schirru;;;
Ghitarra;Bullitta;;;
Giamicu;;;;
Giarrettu;Meloni;;;
Gigìolla;Mattana;;;
Gioghitu;;;;
Gionchetti;Loi;;;
Giovittu;Mereu;;;
Gira gira;;;;
Gobbu;Pitzanti;;;
Gorilla;Bullita;;;
Gregu;Piga;;;
Grifo(n)i;Bullita;;;
Grillatzu;Melis/Corona;;;
Grillu;Pitzanti;;;
Guetu;;;;
Gustori;;;;
Inghitio(n)i;Mattana;;;
Intzo(n)i;;;;
Intzrupu;Argiolas;;;
Ispanniolu;Melis;;;
Itzirrichia;;;;
Lallai;Lai;;;
Lalloi;Spiga;;;
Lataiu;;;;
Leo(n)i;Ferru;;;
Liaga;Picciau;;;
Licu (su);;;;
Lilli;;;;
Lillo(n)i;Angioni;;;
Lingi pingiadas;Orrù;;;
Liuscu;Angioni;;;
Livori;;;;
Loi (su);;;;
Loreta;Angioni;;;
Lullu;Spiga;;;
Lutziferru;;;;
Luxori;Melis;;;
Macici;;;;
Macio(n)i;Ferru;;;
Magoredda;;;;
Malloru;Lai;;;
Mamachica;Manunza;;;
Mamitoi;Lai;;;
Manchedda;;;;
Manduga;Melis;;;
Marigosu;Locci;;;
Marraconedda;Meloni;;;
Marra(n)u;Manunza;;;
Marriu;Argiolas;;;
Masoni;Mura;;;
Matraca;Corda;;;
Matza cagada;Piras;;;
Matzamurru;Spiga;;;
Maurissiu;Spiga;;;
Maurreddu;Loi;;;
Meanesu (su);Succu;;;
Menga (sa);Bullitta;;;
Merdeddu;;;;
Merdona becia;Farris;;;
Merdonedda;Piras;;;
Mesu muenti (molenti);Pinna;;;
Mesu pingiada;Rosas;;;
Micheli;Loi;;;
Milionaru (su);Ferru;;;
Millaneddu;Ferru;;;
Milli francus;Soro;;;
Mincaciu;Dessì;;;
Minchitu;Taccori;;;
Mincotti;Cara;;;
Mincu nieddu;Soro;;;
Mincurru (su);Melis;;;
Minestra;Pinna;;;
Minghiriloti;Piga;;;
Miniera;Picciau;;;
Minneddu;;;;
Miucucu;Manca;;;
Mizana;Bullita;;;
Mogadisciu;Pinna;;;
Mogoredda;Nioi;;;
Mratzellu;Piras;;;
Mraxa(n)i;Arba/Ibba/Perra/Sanna/Schirru;;;
Moretu;Pitzanti;;;
Moru (su);Bullita;;;
Moti (sa);Bullita;;;
Mucosu;;;;
Mucu canneddu;Serci;;;
Mungeta;Soro;;;
Munnennu;Serci;;;
Munsannora;Loi;;;
Murdegu;Uras;;;
Murieta;Melis;;;
Murretu;Manca;;;
Murrixeddu;Littera;;;
Murrunnu;Angioni;;;
Murru trotu;Pau;;;
Muscadeddu;;;;
Muscerda;Porcedu;;;
Musch' 'e cuaddu;Corona/Meloni;;;
Muschitu;Manunza;;;
Musoli(n)u;Farris;;;
Murtineddu;Asuni;;;
Nanni (su);Cardu;;;
Napulio(n)i;Mereu;;;
Narri (su);Foddis;;;
Naseddu;Annis;;;
Nasu nieddu;Porru;;;
Nichiri;Bullita;;;
Niedda;Pitzanti;;;
Nieddu (su);;;;
Nioleddu;Loi;;;
Nughedda;Dessì;;;
Ogheddu;Spiga;;;
Ogu de giugi;Pau;;;
Orcu (S'rocu);Taris;;;
Paddotzu;Piga;;;
Palisina;Matta;;;
Pampas de fogu;;;;
Panada;Bullita;;;
Paneteri;Melis;;;
Panniota;Pani;;;
Papa farra;Arba/Piga;;;
Papa gerda;Melis;;;
Papa inghisciu;Bullita;;;
Para (su);Ibba/Lai/Marras/Massa;;;
Para caciau (su);Piras;;;
Patata;Lai;;;
Peddi de fogu;Serrau;;;
Peis de cavunu;Angioni;;;
Peis de gomma;Angioni;;;
Peis de lana;Zanda;;;
Peixeddu;;;;
Pena (sa);Bullita;;;
Pepi (su);;;;
Pepiochi;Serrau;;;
Perdasetzu;Argiolas;;;
Perdigo(n)i;;;;
Perdingia(n)u;Dessì;;;
Perdixi;Pili;;;
Peropera;Piga;;;
Petza de crabu;Floris;;;
Pibinca;Spanu;;;
Pibitziri;Ferru;;;
Picanti;Piga;;;
Pichirissu;;;;
Picorra;Pinna/Piras;;;
Pidasso(n)i;Taris;;;
Piddo(n)i;Pili;;;
Pil' e ca(n)i;Erbino;;;
Pilipompa;Pili;;;
Pillaiedda;Cau/Pala;;;
Pilleddu;Argiolas;;;
Pillitieri;;;;
Pillonedda;Pili;;;
Pillo(n)i;Manunza;;;
Piluca;Spiga;;;
Pilutzeddu;Piga;;;
Pindo(n)i;;;;
Pingiada;;;;
Pinnedda;Pinna;;;
Pinniga;Matta;;;
Pintau;Bullita;;;
Pinzellu;;;;
Piochi;Porcu;;;
Pio(n)i;;;;
Pipa (sa);Atzeri;;;
Pira tonta;Orrù;;;
Pirata;Piras;;;
Pirichitu;;;;
Piricocu;Angioni;;;
Piricu;Ferru;;;
Piroddi;Dessì;;;
Pirresu (su);Soro;;;
Piscia piscia;;;;
Pisci motu;Marras;;;
Piscio(n)i;Pau/Pili;;;
Pisciota;Caredda;;;
Pisighitu;Ferru;;;
Pisitu;Cannas;;;
Pisoli(n)u;Cannas;;;
Piso(n)i;Sechi;;;
Pistillo(n)i;Pisu;;;
Pisuddu;Pisu;;;
Pitanu;Dessì;;;
Piticheddu;Mereu;;;
Pitza arrandada;;;;
Pitza cota;;;;
Pitzerra;Mereu;;;
Pitzetu;Picciau/Usai;;;
Pitzicoti;Serrau;;;
Pitziosu;;;;
Pitzoni;Sanna;;;
Poddianu;Atzeni;;;
Po(n)i fogu;Lai;;;
Pop(n)i;Angioni;;;
Prafalla;Manunza;;;
Prediolla;Cabras;;;
Prefetu;Puddu;;;
Preideddu;Angioni;;;
Priogu;Usai;;;
Procaxu;Coppo/Pitzanti;;;
Puddecu;Loi;;;
Puncio(n)i;Argiolas;;;
Rei (su);Caredda/Perseu;;;
Saddori;Argiolas;;;
Santu (su);Medda/Pinna;;;
Scaliteddu;Loi;;;
Scaronnia;Serra;;;
Sconchitu;Spiga;;;
Scotza scotza;;;;
Scozia;Alba;;;
Scrabutzau;Serci;;;
Scraxolu;Zanda;;;
Scruculla nius;Paulis;;;
Scurigau;;;;
Sdorrobau;Mereu;;;
Segadi casu;;;;
Seillea;Spiga;;;
Serrenti;;;;
Setimesu (su);Mereu;;;
Sganna burricus;Sanna;;;
Silieta;Spiga;;;
Simingio(n)i;Massa;;;
Siu(n)is;Spiga;;;
Smerma perdas;;;;
Soleminesu (su);;;;
Soti (sa);Loi;;;
Spacca montannia;Pinna;;;
Spegu (su);Manca;;;
Stachi stachi;Marcis;;;
Stalla;Manunza;;;
Stiddiau;Loi;;;
Stori (su);Loru;;;
Stupillia;Pitzanti;;;
Suidori;Spiga;;;
Suppa;Schirru;;;
Tabacosu;Asunis;;;
Tallanti;Bullita;;;
Talleri;Pinna;;;
Tapada;Piga;;;
Tapadedda;Manca;;;
Tapu (su);Ferru;;;
Tirandellu;Argiolas;;;
Topi (su);Ferru;;;
Tòpi (su);Manunza;;;
Topo Gigio;Bullita;;;
Tornicia;Marras;;;
Toseddu;Dessì;;;
Trapa(n)u;Tinti;;;
Trata casu;;;;
Tribulia;Argiolas;;;
Trigalledda;;;;
Trombo(n)i;Ferru;;;
Trugiotu;Locci;;;
Trumbita;Spiga;;;
Truncheddu;Taris;;;
Tuco(n)i;Farris;;;
Tumborru;Pitzanti;;;
Tupau;Piras;;;
Tupeddu;Meloni;;;
Turiellu;Soro;;;
Turroni;Marcis;;;
Tzaca sa coa;Ledda;;;
Tzaca tzaca;;;;
Tzidica;Orrù;;;
Tzerpenti;Mereu;;;
Tzurrundeddu;Angioni;;;
Unghedda;Mereu;;;
Untroddi (su);Spiga;;;
Untruxu (su);Argiolas;;;
Urzu (s');Porru;;;
Vallasca;Dessì;;;
Zampiani;;;;
Zavata;Pitzanti;;;
Zigarru;Argiolas;;;
Zitellu;Sechi;;;